time,apparentTemperature,cloudCover,dewPoint,humidity,precipIntensity,precipProbability,pressure,temperature,visibility,windBearing,windSpeed
1485936000,-0.18,0,-5.04,0.7,0,0,1019.29,-0.18,9.72,162,0.7
1485939600,0.16,0.01,-5.16,0.67,0,0,1018.55,0.16,9.46,150,2.92
1485943200,-1.32,0,-5.96,0.71,0,0,1017.77,-1.32,9.5,140,2.61
1485946800,-1.21,0,-5.85,0.71,0,0,1017.63,-1.21,9.47,163,1.09
1485950400,-1.59,0.05,-5.82,0.73,0,0,1017.18,-1.59,9.68,120,2.69
1485954000,-0.55,0,-5.22,0.71,0,0,1017.03,-0.55,9.35,212,1.27
1485957600,-1.38,0,-5.55,0.73,0,0,1017.37,-1.38,9.73,170,1.32
1485961200,-3.18,0,-5.43,0.74,0,0,1017.57,-1.43,9.71,79,3.09
1485964800,0.53,0.02,-2.83,0.7,0,0,1017.07,2.02,9.53,101,3.37
1485968400,-0.03,0.09,-3.68,0.66,0,0,1017.56,1.96,9.82,148,4.2
1485972000,1.29,0.15,-3.51,0.62,0,0,1017.51,3.14,9.79,169,4.29
1485975600,4.57,0.11,-3.62,0.48,0,0,1017.23,6.71,9.88,199,6.67
1485979200,7.28,0.12,-3.21,0.42,0,0,1016.34,9.07,9.85,179,7.14
1485982800,9.67,0.21,-1.66,0.45,0,0,1015.35,9.67,9.85,193,2.53
1485986400,10.05,0.13,-1.23,0.45,0,0,1014.75,10.05,9.71,153,3.01
1485990000,10.13,0.14,-0.75,0.47,0,0,1014.74,10.13,9.77,227,2.42
1485993600,7.73,0.32,-2.62,0.44,0,0,1014.82,8.87,9.76,224,4.86
1485997200,6.88,0.24,-2.51,0.48,0,0,1014.98,7.91,9.83,204,4.15
1486000800,4.87,0.15,-2.34,0.49,0,0,1015.2,7.61,9.83,188,9.82
1486004400,4.97,0.14,-2.94,0.48,0,0,1015.43,7.37,9.91,196,8.14
1486008000,4.01,0.19,-2.77,0.5,0,0,1015.25,6.99,9.75,182,10.26
1486011600,2.89,0.31,-2.32,0.54,0,0,1014.95,6.35,9.76,179,11.86
1486015200,2.97,0.36,-2.97,0.52,0,0,1014.34,6.09,9.7,176,9.95
1486018800,2.76,0.24,-3.39,0.5,0,0,1013.63,6.19,9.71,199,11.5
1486022400,2.79,0.12,-3.47,0.51,0,0,1013.42,5.93,9.38,187,9.8
1486026000,3.07,0.3,-3.04,0.54,0,0,1013.07,5.52,9.78,168,6.91
1486029600,1.1,0.1,-2.16,0.63,0,0,1012.59,4.16,9.4,193,7.96
1486033200,1.36,0.11,-0.25,0.74,0.066,0.08,1013.42,3.94,7.74,170,6.37
1486036800,0.96,0.55,0.16,0.78,0.2337,0.49,1013.22,3.62,8.09,173,6.39
1486040400,3.49,0.31,1.57,0.87,0.1499,0.27,1013.89,3.49,6.11,173,2.44
1486044000,3.36,null,1.86,0.9,0.2489,0.5,1014.02,3.36,5.82,144,2.45
1486047600,3.09,null,1.88,0.92,0.5944,0.63,1014.57,3.09,5.46,105,1.65
1486051200,3.51,0.31,2.31,0.92,0.2464,0.5,1015.11,3.51,6.88,125,2.71
1486054800,3.5,0.31,2.68,0.87,0.1295,0.22,1015.49,4.71,7.53,153,3.56
1486058400,3.58,0.46,3.6,0.84,0.0686,0.08,1016.1,6.14,8.12,165,7.73
